,Year,Nominal GDP (Ksh Million),Annual GDP Growth (%),Real GDP (Ksh Million),GDP Deflator
0,1960,5900,,37697.88045,0.156507473
1,1961,6200,3.8,38164.4719,0.162454757
2,1962,6600,9.2,37203.93396,0.177400594
3,1963,7000,7.5,36705.78404,0.190705639
4,1964,7500,4.8,37526.36045,0.19985951
5,1965,8000,2.1,39204.81667,0.204056559
6,1966,8600,11.5,37798.36585,0.227523064
7,1967,9200,5.8,38218.77234,0.240719401
8,1968,10000,7.9,38500.59671,0.259736234
9,1969,10800,6.5,39042.85863,0.276619089
10,1970,11700,5.2,40205.73212,0.291003282
11,1971,12700,6.8,40863.40775,0.310791505
12,1972,14000,17.1,38468.21201,0.363936853
13,1973,15500,5.9,40217.00298,0.385409127
14,1974,18000,4.1,44864.18478,0.401210901
15,1975,20500,2,50093.45251,0.409235119
16,1976,23500,3.3,55589.74023,0.422739878
17,1977,27000,9.5,58327.91163,0.462900166
18,1978,31000,8.8,61552.46666,0.503635381
19,1979,35500,5.2,67003.32904,0.529824421
20,1980,41000,4.1,74336.33669,0.551547222
21,1981,47000,3.8,82095.20711,0.572506017
22,1982,53000,2,90760.24149,0.583956137
23,1983,59000,2.5,98570.71786,0.59855504
24,1984,66000,1.6,108529.0835,0.608131921
25,1985,74000,4.1,116891.5695,0.63306533
26,1986,83000,6,123686.8979,0.671049249
27,1987,92000,5.9,129460.5573,0.710641155
28,1988,103000,6.2,136477.9068,0.754700907
29,1989,115000,4.7,145537.9612,0.790171849
30,1990,129000,4.2,156675.265,0.823359067
31,1991,145000,1.4,173676.3866,0.834886094
32,1992,163000,-0.8,196810.6995,0.828207005
33,1993,183000,0.4,220078.9358,0.831519833
34,1994,210000,2.6,246149.7061,0.853139349
35,1995,240000,4.4,269457.8063,0.89067748
36,1996,275000,4.1,296593.4067,0.927195257
37,1997,310000,0.5,332678.2672,0.931831233
38,1998,345000,3.3,358411.1488,0.962581664
39,1999,380000,2.3,385896.09,0.984721042
40,2000,967838,0,982855,0.984721042
41,2001,1020022,3.8,997927.4454,1.022140442
42,2002,1035374,0.5,1007907.371,1.027251144
43,2003,1131783,2.9,1070708.272,1.057041427
44,2004,1274328,5.1,1147060.966,1.11095054
45,2005,1415823,5.7,1205699.974,1.174274721
46,2006,1622565,6.5,1297426.56,1.250602578
47,2007,1833511,6.9,1371470.578,1.336894156
48,2008,2107589,1.5,1553183.815,1.356947568
49,2009,3275642,2.7,2350514.423,1.393585152
50,2010,3597630,8.1,2388126.301,1.50646555
51,2011,4162514,5.1,2629019.375,1.583295293
52,2012,4767191,4.6,2878517.986,1.656126876
53,2013,5311322,3.8,3089666.99,1.719059697
54,2014,6003835,5,3326201.006,1.805012682
55,2015,6884317,5,3632380.23,1.895263316
56,2016,7594064,4.2,3845359.759,1.974864376
57,2017,8483396,3.8,4138425.209,2.049909222
58,2018,9340307,5.6,4314819.21,2.164704138
59,2019,10237727,5.1,4499893.973,2.275104049
60,2020,10715070,-0.3,4723877.107,2.268278737
61,2021,12027662,7.6,4928020.685,2.440667921
62,2022,13489642,4.9,5268854.952,2.560260649
63,2023,15108806,5.6,5588330.018,2.703635246
