Year,Nominal GDP (Ksh Million),Annual GDP Growth (%),Real GDP (Ksh Million),GDP Deflator
1960,5900,,,
1961,6200,3.8,156210.89181679144,3.968993408776858
1962,6600,9.2,162146.90570582953,4.070382947654804
1963,7000,7.5,177064.42103076586,3.9533633912731196
1964,7500,4.8,190344.2526080733,3.940229293627694
1965,8000,2.1,199480.7767332608,4.0104114947864575
1966,8600,11.5,203669.87304465927,4.222519448477416
1967,9200,5.8,227091.9084447951,4.051223164667038
1968,10000,7.9,240263.23913459323,4.162101549957916
1969,10800,6.5,259244.03502622608,4.1659589193276645
1970,11700,5.2,276094.89730293077,4.237673392117343
1971,12700,6.8,290451.8319626832,4.372497812866842
1972,14000,17.1,310202.5565361457,4.51318008346868
1973,15500,5.9,363247.1937038266,4.267066688652223
1974,18000,4.1,384678.77813235234,4.679228754804595
1975,20500,2.0,400450.60803577874,5.119233081091589
1976,23500,3.3,408459.62019649433,5.753322687979548
1977,27000,9.5,421938.78766297863,6.399032463819399
1978,31000,8.8,462022.9724909616,6.709623080615638
1979,35500,5.2,502680.99407016626,7.062132926999974
1980,41000,4.1,528820.4057618149,7.753104750361456
1981,47000,3.8,550502.0423980493,8.537661330966671
1982,53000,2.0,571421.1200091752,9.275120947428228
1983,59000,2.5,582849.5424093587,10.122681019205798
1984,66000,1.6,597420.7809695926,11.047489826665279
1985,74000,4.1,606979.5134651061,12.191515258488883
1986,83000,6.0,631865.6735171755,13.135703279780062
1987,92000,5.9,669777.613928206,13.73590249761043
1988,103000,6.2,709294.4931499702,14.521471827953714
1989,115000,4.7,753270.7517252684,15.266754979747654
1990,129000,4.2,788674.477056356,16.356558219238796
1991,145000,1.4,821798.805092723,17.644221322959915
1992,163000,-0.8,833303.9883640212,19.560688809375403
1993,183000,0.4,826637.556457109,22.137876336555625
1994,210000,2.6,829944.1066829375,25.302908751206548
1995,240000,4.4,851522.6534566939,28.18480506957009
1996,275000,4.1,888989.6502087885,30.93399343124112
1997,310000,0.5,925438.2258673487,33.49764374704304
1998,345000,3.3,930065.4169966853,37.094164958208474
1999,380000,2.3,960757.5757575758,39.552121116543134
2000,967838,0.0,982855.0,98.47210422697142
2001,1020022,3.8,1020111.0,99.99127545923923
2002,1035374,0.5,1025583.0,100.95467651082359
2003,1131783,2.9,1055658.0,107.21114224493161
2004,1274328,5.1,1109338.0,114.87283406860669
2005,1415823,5.7,1172784.0,120.72325338681291
2006,1622565,6.5,1249470.0,129.86026075055824
2007,1833511,6.9,1336849.0,137.15169028065247
2008,2107589,1.5,1357262.0,155.28239941882998
2009,3275642,2.7,5361462.0,61.096059246526416
2010,3597630,8.1,5793514.0,62.09754563465282
2011,4162514,5.1,6090206.0,68.34767165511315
2012,4767191,4.6,6368448.0,74.85640143406997
2013,5311322,3.8,6610312.0,80.34903647513158
2014,6003835,5.0,6942157.0,86.48371104254772
2015,6884317,5.0,7287024.0,94.47364246364496
2016,7594064,4.2,7594064.0,100.0
2017,8483396,3.8,7885521.0,107.58193402820181
2018,9340307,5.6,8330891.0,112.11654311645658
2019,10237727,5.1,8756946.0,116.90978795575535
2020,10715070,-0.3,8733060.0,122.695481308957
2021,12027662,7.6,9395942.0,128.0091128702157
2022,13489642,4.9,9852583.0,136.91477656163872
2023,15108806,5.6,10399980.0,145.2772601485772
